S1001	S	Senate	17/04/2015	08/11/2016	16/04/2015	571	R	ID	8	REFERRED
HR3911	HR	House	04/11/2015	02/11/2016	03/11/2015	364	D	AZ	4	REFERRED
HR3391	HR	House	30/07/2015	14/01/2017	29/07/2015	534	R	PA	6	REFERRED
S1850	S	Senate	28/07/2015	02/11/2016	23/07/2015	463	D	PA	2	REFERRED
HR1706	HR	House	27/03/2015	18/11/2016	26/03/2015	602	D	CA	8	REFERRED
HR5120	HR	House	29/04/2016	02/11/2016	28/04/2016	187	R	AZ	5	REFERRED
HRES906	HRES	House	29/09/2016	11/01/2017	28/09/2016	104	R	NH	3	REFERRED
HR723	HR	House	05/02/2015	02/11/2016	04/02/2015	636	R	NY	10	REFERRED
HR2750	HR	House	13/06/2015	11/01/2017	12/06/2015	578	R	NY	18	REFERRED
HR5832	HR	House	15/07/2016	21/11/2016	14/07/2016	129	R	NY	4	REFERRED
HRES863	HRES	House	14/09/2016	11/01/2017	13/09/2016	119	R	AL	11	REFERRED
S2880	S	Senate	29/04/2016	15/02/2017	28/04/2016	291	D	WA	2	REFERRED
S3351	S	Senate	20/09/2016	03/12/2016	19/09/2016	74	R	FL	2	REFERRED
HR731	HR	House	05/02/2015	02/11/2016	04/02/2015	636	R	FL	4	REFERRED
S3401	S	Senate	28/09/2016	03/11/2016	27/09/2016	35	R	ID	2	REFERRED
HR1452	HR	House	19/03/2015	06/01/2017	18/03/2015	659	R	FL	11	REFERRED
HR3233	HR	House	29/07/2015	02/11/2016	28/07/2015	462	D	MD	3	REFERRED
HR2811	HR	House	18/06/2015	02/11/2016	17/06/2015	503	D	AZ	6	REFERRED
HR581	HR	House	29/01/2015	02/11/2016	28/01/2015	643	R	PA	4	REFERRED
HR6367	HR	House	18/11/2016	25/11/2016	17/11/2016	7	D	FL	3	REFERRED
HRES164	HRES	House	24/03/2015	11/01/2017	23/03/2015	659	D	FL	4	REFERRED
HR2014	HR	House	24/04/2015	02/11/2016	23/04/2015	558	D	WI	7	REFERRED
SRES248	SRES	Senate	06/08/2015	02/11/2016	05/08/2015	454	R	AL	3	REFERRED
S1902	S	Senate	31/07/2015	02/11/2016	30/07/2015	460	D	RI	2	REFERRED
S2762	S	Senate	08/04/2016	02/11/2016	07/04/2016	208	R	IN	2	REFERRED
HR4697	HR	House	04/03/2016	02/11/2016	03/03/2016	243	D	CT	9	REFERRED
HR5940	HR	House	07/09/2016	09/01/2017	06/09/2016	124	R	KS	9	REFERRED
SCONRES36	SCONRES	Senate	22/04/2016	02/11/2016	21/04/2016	194	D	FL	2	REFERRED
HR5385	HR	House	08/06/2016	14/01/2017	07/06/2016	220	D	NJ	16	REFERRED
SRES130	SRES	Senate	27/03/2015	02/11/2016	27/03/2015	586	R	NC	2	REFERRED
HR3940	HR	House	06/11/2015	02/11/2016	05/11/2015	362	R	GA	7	REFERRED
HR5765	HR	House	14/07/2016	11/01/2017	13/07/2016	181	D	MI	5	REFERRED
S2280	S	Senate	11/11/2015	02/11/2016	10/11/2015	357	R	AK	6	REFERRED
HR28	HR	House	07/01/2015	14/02/2017	06/01/2015	769	R	TX	9	REFERRED
HR3270	HR	House	29/07/2015	02/11/2016	28/07/2015	462	R	AK	4	REFERRED
HR3054	HR	House	15/07/2015	09/12/2016	14/07/2015	513	D	MA	6	REFERRED
HJRES105	HJRES	House	03/12/2016	11/01/2017	02/12/2016	39	D	FL	8	REFERRED
S1652	S	Senate	24/06/2015	02/11/2016	23/06/2015	497	D	MD	2	REFERRED
HR2002	HR	House	24/04/2015	02/11/2016	23/04/2015	558	D	CT	3	REFERRED
HR5254	HR	House	17/05/2016	02/11/2016	16/05/2016	169	D	FL	3	REFERRED
HCONRES33	HCONRES	House	27/03/2015	11/01/2017	26/03/2015	656	R	WI	3	REFERRED
HR6465	HR	House	08/12/2016	13/12/2016	07/12/2016	5	R	TN	3	REFERRED
HRES234	HRES	House	30/04/2015	11/01/2017	29/04/2015	622	R	OH	4	REFERRED
HR1037	HR	House	25/02/2015	02/11/2016	24/02/2015	616	D	RI	3	REFERRED
HR2318	HR	House	15/05/2015	02/11/2016	14/05/2015	537	R	WA	4	REFERRED
S1046	S	Senate	23/04/2015	02/11/2016	22/04/2015	559	D	WA	3	REFERRED
SRES279	SRES	Senate	07/10/2015	02/11/2016	06/10/2015	392	D	PA	3	REFERRED
HR2858	HR	House	24/06/2015	14/12/2016	23/06/2015	539	R	AZ	4	REFERRED
HR4457	HR	House	04/02/2016	02/11/2016	03/02/2016	272	R	AZ	4	REFERRED
SRES347	SRES	Senate	21/01/2016	15/02/2017	20/01/2016	390	D	NJ	8	REFERRED
HR5705	HR	House	09/07/2016	02/11/2016	08/07/2016	116	D	TX	4	REFERRED
HR4298	HR	House	19/12/2015	07/01/2017	18/12/2015	385	R	NV	15	REFERRED
HR2677	HR	House	05/06/2015	02/11/2016	04/06/2015	516	R	AZ	4	REFERRED
S1346	S	Senate	15/05/2015	02/11/2016	14/05/2015	537	R	AK	3	REFERRED
HR1263	HR	House	05/03/2015	02/11/2016	04/03/2015	608	R	WI	3	REFERRED
HR772	HR	House	06/02/2015	02/11/2016	05/02/2015	635	R	TN	4	REFERRED
S3064	S	Senate	17/06/2016	03/11/2016	16/06/2016	138	D	NJ	2	REFERRED
HR6085	HR	House	21/09/2016	02/11/2016	20/09/2016	42	D	TX	3	REFERRED
HR622	HR	House	31/01/2015	14/01/2017	30/01/2015	714	R	TX	21	REFERRED
HR4049	HR	House	18/11/2015	02/11/2016	17/11/2015	350	R	UT	3	REFERRED
HR3360	HR	House	30/07/2015	11/01/2017	29/07/2015	531	D	WA	3	REFERRED
HR3551	HR	House	18/09/2015	02/11/2016	17/09/2015	411	D	NY	4	REFERRED
S1027	S	Senate	22/04/2015	02/11/2016	21/04/2015	560	R	IL	2	REFERRED
HR102	HR	House	07/01/2015	14/02/2017	06/01/2015	769	D	MI	7	REFERRED
S185	S	Senate	17/01/2015	11/01/2017	16/01/2015	725	R	UT	6	REFERRED
S425	S	Senate	11/02/2015	22/12/2016	10/02/2015	680	R	AR	7	REFERRED
S1030	S	Senate	22/04/2015	14/01/2017	21/04/2015	633	D	OR	2	REFERRED
S1816	S	Senate	22/07/2015	02/11/2016	21/07/2015	469	R	SD	3	REFERRED
HR5857	HR	House	15/07/2016	08/12/2016	14/07/2016	146	D	NY	7	REFERRED
SJRES17	SJRES	Senate	26/06/2015	02/11/2016	25/06/2015	495	R	WY	2	REFERRED
HR3880	HR	House	04/11/2015	02/11/2016	03/11/2015	364	R	AL	8	REFERRED
HR6255	HR	House	29/09/2016	18/11/2016	28/09/2016	50	D	CA	3	REFERRED
S2116	S	Senate	02/10/2015	30/12/2016	01/10/2015	455	D	NH	8	REFERRED
HR6247	HR	House	29/09/2016	07/12/2016	28/09/2016	69	R	LA	4	REFERRED
HR1033	HR	House	25/02/2015	02/11/2016	24/02/2015	616	D	OH	4	REFERRED
HR5163	HR	House	30/04/2016	02/11/2016	29/04/2016	186	D	VI	3	REFERRED
S3137	S	Senate	08/07/2016	14/02/2017	07/07/2016	221	R	WV	2	REFERRED
HR3496	HR	House	12/09/2015	02/11/2016	11/09/2015	417	R	WI	7	REFERRED
S108	S	Senate	08/01/2015	02/11/2016	07/01/2015	664	R	TN	2	REFERRED
HR2893	HR	House	26/06/2015	02/11/2016	25/06/2015	495	R	NJ	3	REFERRED
HRES309	HRES	House	12/06/2015	11/01/2017	11/06/2015	579	D	TX	3	REFERRED
SRES429	SRES	Senate	15/04/2016	02/11/2016	14/04/2016	201	R	GA	3	REFERRED
HR5584	HR	House	25/06/2016	09/12/2016	24/06/2016	167	D	MP	8	REFERRED
HR1059	HR	House	26/02/2015	02/11/2016	25/02/2015	615	R	IL	3	REFERRED
S1877	S	Senate	29/07/2015	02/11/2016	28/07/2015	462	R	OK	2	REFERRED
HR428	HR	House	22/01/2015	02/11/2016	21/01/2015	650	R	TX	7	REFERRED
S2393	S	Senate	11/12/2015	20/01/2017	10/12/2015	405	D	RI	18	Passed
HR5097	HR	House	29/04/2016	02/11/2016	28/04/2016	187	R	IN	4	REFERRED
S704	S	Senate	12/03/2015	08/11/2016	11/03/2015	607	R	IA	6	REFERRED
HR2837	HR	House	19/06/2015	02/11/2016	18/06/2015	502	D	DC	4	REFERRED
HR5344	HR	House	27/05/2016	04/01/2017	26/05/2016	222	D	PA	3	REFERRED
S1427	S	Senate	22/05/2015	02/11/2016	21/05/2015	530	D	MI	2	REFERRED
SRES581	SRES	Senate	28/09/2016	15/02/2017	27/09/2016	139	D	CT	2	REFERRED
HR1957	HR	House	23/04/2015	17/01/2017	22/04/2015	635	D	TX	4	REFERRED
HR4036	HR	House	18/11/2015	02/11/2016	17/11/2015	350	R	LA	4	REFERRED
S155	S	Senate	14/01/2015	02/11/2016	13/01/2015	658	R	KS	2	REFERRED
S2585	S	Senate	26/02/2016	02/11/2016	25/02/2016	250	R	AZ	2	REFERRED
HR2768	HR	House	16/06/2015	17/01/2017	15/06/2015	581	D	OR	10	REFERRED
S3055	S	Senate	15/06/2016	10/11/2016	14/06/2016	148	R	NC	21	Passed
S1670	S	Senate	25/06/2015	15/02/2017	24/06/2015	600	D	MN	2	REFERRED
HR752	HR	House	06/02/2015	15/11/2016	05/02/2015	648	D	CT	4	REFERRED
HR1817	HR	House	16/04/2015	02/11/2016	15/04/2015	566	R	TX	4	REFERRED
S622	S	Senate	03/03/2015	02/11/2016	02/03/2015	610	D	RI	2	REFERRED
HR1466	HR	House	23/03/2015	02/11/2016	19/03/2015	590	D	WI	16	REFERRED
S1912	S	Senate	31/07/2015	02/11/2016	30/07/2015	460	D	MT	2	REFERRED
HR4422	HR	House	02/02/2016	02/11/2016	01/02/2016	274	D	LA	3	REFERRED
SRES480	SRES	Senate	27/05/2016	15/02/2017	26/05/2016	263	R	LA	3	REFERRED
HR158	HR	House	07/01/2015	14/02/2017	06/01/2015	769	R	MI	21	REFERRED
HR3085	HR	House	17/07/2015	02/11/2016	16/07/2015	474	D	PA	3	REFERRED
HR327	HR	House	14/01/2015	02/11/2016	13/01/2015	658	R	AK	5	REFERRED
HR709	HR	House	05/02/2015	14/01/2017	04/02/2015	709	R	OH	15	REFERRED
S1558	S	Senate	12/06/2015	15/02/2017	11/06/2015	614	R	MS	12	REFERRED
HR2726	HR	House	11/06/2015	18/01/2017	10/06/2015	586	R	FL	21	Passed
S3508	S	Senate	07/12/2016	13/12/2016	06/12/2016	6	R	OK	2	REFERRED
S1655	S	Senate	25/06/2015	02/11/2016	24/06/2015	496	R	GA	2	REFERRED
S2867	S	Senate	28/04/2016	15/02/2017	27/04/2016	292	D	ND	3	REFERRED
S1154	S	Senate	01/05/2015	02/11/2016	30/04/2015	551	R	AK	2	REFERRED
HR2218	HR	House	02/05/2015	02/11/2016	01/05/2015	550	R	NY	3	REFERRED
S2407	S	Senate	17/12/2015	02/11/2016	16/12/2015	321	D	MA	2	REFERRED
HR1856	HR	House	17/04/2015	02/11/2016	16/04/2015	565	D	NY	4	REFERRED
S2052	S	Senate	18/09/2015	02/11/2016	17/09/2015	411	D	MN	2	REFERRED
S601	S	Senate	27/02/2015	02/11/2016	26/02/2015	614	D	ND	2	REFERRED
HRES191	HRES	House	14/04/2015	11/01/2017	13/04/2015	638	D	CT	3	REFERRED
HR3260	HR	House	29/07/2015	02/11/2016	28/07/2015	462	D	IL	3	REFERRED
S2943	S	Senate	19/05/2016	07/03/2017	18/05/2016	292	R	AZ	87	Passed
HR6401	HR	House	30/11/2016	31/01/2017	29/11/2016	62	D	MP	13	REFERRED
HR6440	HR	House	07/12/2016	23/12/2016	06/12/2016	16	R	SC	4	REFERRED
HR1051	HR	House	25/02/2015	02/11/2016	24/02/2015	616	D	CA	7	REFERRED
HRES585	HRES	House	14/01/2016	11/01/2017	13/01/2016	363	R	VA	7	REFERRED
S3275	S	Senate	15/07/2016	03/11/2016	14/07/2016	110	R	IL	2	REFERRED
HCONRES80	HCONRES	House	01/10/2015	11/01/2017	30/09/2015	468	D	NC	8	REFERRED
S1641	S	Senate	23/06/2015	15/02/2017	22/06/2015	602	D	WI	2	REFERRED
HR1178	HR	House	28/02/2015	02/11/2016	27/02/2015	613	R	NY	7	REFERRED
HR2059	HR	House	29/04/2015	02/11/2016	28/04/2015	553	D	VA	3	REFERRED
S1241	S	Senate	08/05/2015	14/01/2017	07/05/2015	617	D	WA	3	REFERRED
SRES592	SRES	Senate	30/09/2016	02/11/2016	29/09/2016	33	R	SC	3	REFERRED
HR1361	HR	House	14/03/2015	21/01/2017	13/03/2015	679	R	KY	4	REFERRED
S2870	S	Senate	29/04/2016	02/11/2016	28/04/2016	187	D	MO	2	REFERRED
HR6453	HR	House	08/12/2016	12/01/2017	07/12/2016	35	R	PA	6	REFERRED
HRES619	HRES	House	24/02/2016	11/01/2017	23/02/2016	322	R	WA	13	REFERRED
HR137	HR	House	07/01/2015	14/02/2017	06/01/2015	769	R	CA	6	REFERRED
S1851	S	Senate	28/07/2015	20/12/2016	23/07/2015	510	D	NY	2	REFERRED
S2470	S	Senate	29/01/2016	02/11/2016	28/01/2016	278	R	AZ	2	REFERRED
HR2210	HR	House	02/05/2015	02/11/2016	01/05/2015	550	R	AZ	3	REFERRED
HR6509	HR	House	09/12/2016	23/12/2016	08/12/2016	14	D	WA	4	REFERRED
SRES90	SRES	Senate	27/02/2015	15/02/2017	26/02/2015	718	D	HI	3	REFERRED
HR4022	HR	House	17/11/2015	02/11/2016	16/11/2015	351	R	SC	5	REFERRED
S1441	S	Senate	22/05/2015	02/11/2016	21/05/2015	530	R	KY	2	REFERRED
SRES491	SRES	Senate	11/06/2016	02/11/2016	10/06/2016	144	D	MA	3	REFERRED
HCONRES10	HCONRES	House	28/01/2015	11/01/2017	27/01/2015	714	D	PA	3	REFERRED
HR4134	HR	House	01/12/2015	02/11/2016	30/11/2015	337	D	OR	7	REFERRED
HR1185	HR	House	28/02/2015	02/11/2016	27/02/2015	613	R	OH	3	REFERRED
HR3538	HR	House	18/09/2015	02/11/2016	17/09/2015	411	R	NC	4	REFERRED
HRES487	HRES	House	23/10/2015	14/01/2017	22/10/2015	449	R	KS	4	REFERRED
S1815	S	Senate	22/07/2015	02/11/2016	21/07/2015	469	R	NV	2	REFERRED
HR5040	HR	House	22/04/2016	02/11/2016	21/04/2016	194	D	CO	3	REFERRED
S16	S	Senate	07/01/2015	15/02/2017	06/01/2015	769	R	LA	2	REFERRED
HR5819	HR	House	15/07/2016	18/11/2016	14/07/2016	126	D	OR	6	REFERRED
HR872	HR	House	12/02/2015	13/12/2016	11/02/2015	670	R	VA	5	REFERRED
HR841	HR	House	11/02/2015	18/11/2016	10/02/2015	646	R	IA	7	REFERRED
S2661	S	Senate	11/03/2016	30/11/2016	10/03/2016	264	D	OH	2	REFERRED
S1324	S	Senate	14/05/2015	15/12/2016	13/05/2015	581	R	WV	7	REFERRED
S2731	S	Senate	18/03/2016	02/11/2016	17/03/2016	229	D	MA	2	REFERRED
HR6490	HR	House	09/12/2016	13/02/2017	08/12/2016	66	R	TX	6	REFERRED
S1286	S	Senate	12/05/2015	02/11/2016	11/05/2015	540	D	NH	2	REFERRED
HR765	HR	House	06/02/2015	14/01/2017	05/02/2015	708	R	PA	8	REFERRED
S2085	S	Senate	29/09/2015	08/12/2016	28/09/2015	436	R	OH	2	REFERRED
HRES228	HRES	House	30/04/2015	11/01/2017	29/04/2015	622	D	CA	3	REFERRED
S1686	S	Senate	26/06/2015	02/11/2016	25/06/2015	495	D	WI	2	REFERRED
S151	S	Senate	14/01/2015	02/11/2016	13/01/2015	658	R	NV	2	REFERRED
S1565	S	Senate	12/06/2015	15/02/2017	11/06/2015	613	D	RI	2	REFERRED
HR1391	HR	House	18/03/2015	18/11/2016	17/03/2015	611	D	CT	8	REFERRED
HRES8	HRES	House	07/01/2015	14/02/2017	06/01/2015	769	D	CA	6	REFERRED
HR4130	HR	House	01/12/2015	02/11/2016	30/11/2015	337	D	MN	4	REFERRED
S3379	S	Senate	22/09/2016	15/02/2017	21/09/2016	146	R	SD	2	REFERRED
S483	S	Senate	13/02/2015	23/01/2017	12/02/2015	710	R	UT	22	Passed
S3065	S	Senate	17/06/2016	15/02/2017	16/06/2016	242	R	UT	2	REFERRED
HR1430	HR	House	19/03/2015	14/01/2017	18/03/2015	667	R	LA	8	REFERRED
HR836	HR	House	11/02/2015	18/11/2016	10/02/2015	646	R	PA	4	REFERRED
SRES471	SRES	Senate	19/05/2016	02/11/2016	18/05/2016	167	R	OK	3	REFERRED
S800	S	Senate	23/03/2015	23/12/2016	19/03/2015	641	R	IL	6	REFERRED
HR1260	HR	House	05/03/2015	02/11/2016	04/03/2015	608	D	TX	3	REFERRED
S1195	S	Senate	06/05/2015	02/11/2016	05/05/2015	546	D	OR	2	REFERRED
S2702	S	Senate	18/03/2016	15/02/2017	17/03/2016	333	R	NC	2	REFERRED
S3072	S	Senate	17/06/2016	03/11/2016	16/06/2016	138	R	WI	2	REFERRED
HR3518	HR	House	17/09/2015	02/11/2016	16/09/2015	412	D	CA	4	REFERRED
HRES439	HRES	House	25/09/2015	11/01/2017	24/09/2015	474	D	IL	3	REFERRED
S1379	S	Senate	20/05/2015	02/11/2016	19/05/2015	532	R	OK	2	REFERRED
HR4005	HR	House	17/11/2015	02/11/2016	16/11/2015	351	D	CA	4	REFERRED
S248	S	Senate	23/01/2015	08/11/2016	22/01/2015	655	R	KS	7	REFERRED
S3147	S	Senate	08/07/2016	18/11/2016	07/07/2016	133	D	HI	2	REFERRED
SRES110	SRES	Senate	25/03/2015	02/11/2016	24/03/2015	588	R	NE	3	REFERRED
HR276	HR	House	13/01/2015	02/11/2016	12/01/2015	659	R	TN	4	REFERRED
HR2169	HR	House	01/05/2015	02/11/2016	30/04/2015	551	D	NY	4	REFERRED
HR5170	HR	House	07/05/2016	14/01/2017	06/05/2016	252	R	IN	16	REFERRED
S159	S	Senate	14/01/2015	02/11/2016	13/01/2015	658	R	AZ	2	REFERRED
HR6413	HR	House	01/12/2016	17/01/2017	30/11/2016	47	D	NJ	6	REFERRED
S719	S	Senate	12/03/2015	07/01/2017	11/03/2015	667	D	MT	24	Passed
HR3100	HR	House	17/07/2015	14/12/2016	16/07/2015	516	R	GA	4	REFERRED
HR2039	HR	House	29/04/2015	03/01/2017	28/04/2015	615	R	MS	5	REFERRED
HR5820	HR	House	15/07/2016	18/11/2016	14/07/2016	126	D	GU	8	REFERRED
S564	S	Senate	26/02/2015	02/11/2016	25/02/2015	615	R	KS	3	REFERRED
HRES572	HRES	House	19/12/2015	11/01/2017	18/12/2015	389	R	TX	3	REFERRED
HR2609	HR	House	03/06/2015	02/11/2016	02/06/2015	518	R	TX	4	REFERRED
HR1300	HR	House	05/03/2015	21/01/2017	04/03/2015	688	R	NY	24	REFERRED
HJRES94	HJRES	House	18/05/2016	11/01/2017	17/05/2016	238	D	CA	4	REFERRED
HR2290	HR	House	14/05/2015	15/11/2016	13/05/2015	551	R	OH	4	REFERRED
HRES344	HRES	House	26/06/2015	11/01/2017	25/06/2015	565	D	SC	4	REFERRED
SRES187	SRES	Senate	22/05/2015	02/11/2016	21/05/2015	530	D	NJ	3	REFERRED
HR6492	HR	House	09/12/2016	10/02/2017	08/12/2016	63	D	MN	3	REFERRED
HR2699	HR	House	10/06/2015	02/11/2016	09/06/2015	511	D	NY	4	REFERRED
HR5730	HR	House	13/07/2016	02/11/2016	12/07/2016	112	R	IN	3	REFERRED
S3092	S	Senate	24/06/2016	03/11/2016	23/06/2016	131	R	NV	2	REFERRED
HR4215	HR	House	11/12/2015	12/12/2016	10/12/2015	367	D	PA	4	REFERRED
HRES365	HRES	House	16/07/2015	11/01/2017	15/07/2015	545	D	DC	4	REFERRED
HR4315	HR	House	06/01/2016	02/11/2016	05/01/2016	301	D	TX	10	REFERRED
HRES554	HRES	House	11/12/2015	14/01/2017	07/12/2015	400	R	IN	6	REFERRED
S2405	S	Senate	16/12/2015	02/11/2016	15/12/2015	322	D	NY	2	REFERRED
HCONRES60	HCONRES	House	11/07/2015	11/01/2017	10/07/2015	550	D	FL	3	REFERRED
HR4870	HR	House	24/03/2016	02/11/2016	23/03/2016	223	D	CT	3	REFERRED
HRES750	HRES	House	26/05/2016	11/01/2017	25/05/2016	230	D	FL	5	REFERRED
HRES88	HRES	House	05/02/2015	11/01/2017	04/02/2015	706	R	CA	3	REFERRED
HR5103	HR	House	29/04/2016	15/02/2017	28/04/2016	292	R	TX	5	REFERRED
HR2376	HR	House	16/05/2015	12/12/2016	15/05/2015	576	D	GA	3	REFERRED
S498	S	Senate	13/02/2015	02/11/2016	12/02/2015	628	R	TX	2	REFERRED
HR803	HR	House	06/02/2015	02/11/2016	05/02/2015	635	R	FL	5	REFERRED
HJRES76	HJRES	House	16/12/2015	11/01/2017	15/12/2015	392	R	CA	34	Passed
S2736	S	Senate	18/03/2016	13/01/2017	17/03/2016	301	R	SD	13	REFERRED
